ID Code,Supplier,Fragrance Name,Base,Signal Word,CLP Data,Contains,Warning,Pictogram
CO1018,Cosy Owl,Brazilian Beauty,10% NH,Warning,"H317, P273, P501","2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE, 4TERTBUTYLCYCLOHEXYL ACETATE, ALPHA-ISOMETHYL IONONE, COUMARIN, LIMONENE, LINALOOL",May cause an allergic skin reaction.,GHS07
CO1019,Cosy Owl,Brazilian Crush,10% NH,Warning,"H412, P273, P501","1-(1,2,3,4,5,6,7,8-octahydro-2,3,8,8-tetramethyl-2naphthyl)ethan-1-one,3,7-Dimethylnona-1,6-dien-3-ol, 7-hydroxycitronellal, Acetic acid, anhydride, reaction products with 1,5,10-trimethyl-1,5,9-cyclododecatriene, Benzyl Salicylate, Benzyl alcohol, Coumarin, Methyl-2,4-dihydroxy-3,6dimethylbenzoate",Harmful to aquatic life with long lasting effects.,
CO1020,Cosy Owl,Bubblegum,10% NH,Warning,"H412, P273, P501","dLimonene, Heliotropine crystals",Harmful to aquatic life with long lasting effects.,
CO1021,Cosy Owl,Candy Cane Swirl,10% NH,,,"Menthone, Peppermint oil america",,
CO1022,Cosy Owl,Candy Floss,10% NH,Warning,"H412, P273, P501",d-Limonene,Harmful to aquatic life with long lasting effects.,
CO1023,Cosy Owl,Candy Hearts,10% NH,Warning,"H412, P273, P501","d-Limonene, Cyclamal",Harmful to aquatic life with long lasting effects.,
CO1024,Cosy Owl,Cappuccino,10% NH,,,Coumarin crystals,,
CO1025,Cosy Owl,Caramel,10% NH,Warning,"H412, P273, P501",,Harmful to aquatic life with long lasting effects.,
CO1026,Cosy Owl,Cedarwood Jasmine,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1027,Cosy Owl,Chamomile,10% NH,Warning,"H317, H319, H411, P273",,May cause an allergic skin reaction. Causes serious eye irritation. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
CO1028,Cosy Owl,Champagne Roses,10% NH,Warning,H412,Iso E Super,Harmful to aquatic life with long lasting effects.,
CO1029,Cosy Owl,Charming Love,10% NH,Warning,"H317, H411, P273, P501","3,7-DIMETHYLOCTA-1,6-DIEN-3-YL ACETATE, ETHYL 3-METHYL-3PHENYLGLYCIDATE, linalool",May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
CO1030,Cosy Owl,Chocolate,10% NH,Warning,"H412, P273, P501",Heliotropine crystals,Harmful to aquatic life with long lasting effects.,
CO1031,Cosy Owl,Chocolate Orange,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1032,Cosy Owl,Christmas Spice,10% NH,,,"d-Limonene, Eugenol, Amyl cinnamic aldehyde, Hexyl cinnamic aldehyde, Cinnamic aldehyde, COUMARIN",,
CO1033,Cosy Owl,Christmas Tree,10% NH,Warning,"H317, P333+P313, P501","2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE, EUGENOL",May cause an allergic skin reaction.,GHS07
CO1034,Cosy Owl,Cinnamon Stick,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1035,Cosy Owl,Cinnamon Vanilla,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1036,Cosy Owl,Citronella,10% NH,Warning,"H317, H319, H412, P501",,May cause an allergic skin reaction. Causes serious eye irritation. Harmful to aquatic life with long lasting effects.,GHS07
CO1037,Cosy Owl,Citrus Basil,10% NH,Warning,"H412, P273, P501","Petitgrain oil terpeneless, Estragole (Methyl chavicol), dLimonene, Eugenol, Triplal (Vertocitral)",Harmful to aquatic life with long lasting effects.,
CO1038,Cosy Owl,Ck One Mens Type,10% NH,Warning,H411,"Bergamot oil, Helional, Iso E Super, Linalool, Linalyl acetate, Tangerine oil Can cause allergic reactions",Toxic to aquatic life with long lasting effects.,GHS09
CO1039,Cosy Owl,Coconut,10% NH,Warning,"H317, P501",,May cause an allergic skin reaction.,GHS07
CO1040,Cosy Owl,Coconut Lime,10% NH,Warning,"H412, P273, P501",d-Limonene,Harmful to aquatic life with long lasting effects.,
CO1041,Cosy Owl,Coffee,10% NH,Warning,"H412, P273, P501","3(2H)-Furanone, 4-hydroxy-2,5-dimethyl-",Harmful to aquatic life with long lasting effects.,
CO1042,Cosy Owl,Cranberry Wreath,10% NH,Warning,"H317, P273",,May cause an allergic skin reaction.,GHS07
CO1043,Cosy Owl,Creed Type,10% NH,Warning,"H317, H411, P273, P501","(2methyl-3-(pisopropylphenyl) propionaldehyde), ALPHA PINENE, CITRUS AURANTIUM DULCIS, ISO E SUPER, limonene, linalool",May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
CO1044,Cosy Owl,Creme Caramel,10% NH,Warning,"H412, P273, P501",Coumarin crystals,Harmful to aquatic life with long lasting effects.,
